(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
execução de instrumento	(Direito) a conclusão de um instrumento jurídico (como um contrato ou escritura) ao assiná-lo (e talvez fechá-lo e entregá-lo) para que ele se torne juridicamente vinculativo e exequível
exequível	capaz de ser feito com os meios à mão e com as circunstâncias como elas são
exeqüível	capaz de ser feito com os meios à mão e com as circunstâncias como elas são
exercer	cumprir as obrigações ou ocupar um cargo; servir em uma função especifica; "ele serviu como chefe do departamento por três anos"; "ela exerceu em um congresso por dois mandatos "
exercitar	fazer execício físico; "ela se exercita na academia todo dia"
exercício	treino sistemático com repetições múltiplas; "a prática leva à perfeição"
exercício fisico	a atividade de execitar seus músculos de várias maneiras para manter a forma
exercício físico	a atividade de execitar seus músculos de várias maneiras para manter a forma
exibir	trazer à luz
exibição	o ato de se exibir ou de entreter publicamente
exigente	Não fácil de aguentar; cansativo
exigir	obrigar alguém a fazer algo
exilar	expulsar do país
eximir	isentar ou liberar alguem
existir	se sustentar
exonerar	aceitar uma explicação
exonerar-se	sair voluntariamente de um emprego, posto ou posição
exortar	forçar ou empurrar na direção indicada
expandir	ficar maior em tamanho, volume ou quantidade; "o negocio dele se expandiu rapidamente"
expatriar	expulsar do país
expatriação	migração para fora de um lugar (especialmente migração saindo do seu país natal com o objetivo de se estabelecer em outro)
expedição	o ato de expedir algo
expelir	eliminar (uma substância)
experiencial	relacionado com experiência
experiente	tendo experiência; tendo conhecimento ou habilidade de observação ou participação
experimentado	tendo experiência; tendo conhecimento ou habilidade de observação ou participação
experimentador	Ela era uma experimentadora em novas formas de poesia
experimentar	colocar uma roupa, a fim de ver se ele se encaixa e parece bom; "Experimente esta camisola para ver como fica"
experimento	o ato de conduzir um teste ou investigação controlada
experimento de Michelson-Morley	um célebre experimento conduzido por Albert Michelson e Edward Morley; sua incapacidade para detectar qualquer influência do movimento da Terra na velocidade da luz foi o ponto de partida para a teoria da relatividade de Einstein
experiência	o ato de conduzir um teste ou investigação controlada
expiar	pedir perdao
expirado	ter chegado ao fim ou se tornar nulo, após a passagem de um período de tempo
expirar	passar da vida física, perder todos os atributos corporais e funções necessárias para sustentar a vida
expiração	o vencimento da licença de motorista dele
explicar	fazer menos misterioso ou remover o mistério de
explicar-se	servir como uma razão ou causa ou justificativa de
explodir	vir a abrir de repente e violentamente, como se estivesse sob pressão interna
explorador	uma pessoa que usa algo ou alguém de forma egoísta e sem ética
explorar	usar ou manipular em proveito próprio; "Ele explorou o novo sistema de tributação"; "Ela sabe como aproveitar o sistema"; "ele explora seus pais com simpatia "
exploração	um ato que explora ou vitimiza alguém (os trata injustamente)
explosão	o ato de explodir ou romper
explícito	aberto e observável; não secreto ou escondido
expor	expor ridicularizando; especialmente idéias pretensiosas ou falsas
expor ao sol	expor o corpo ao sol
exposição	algo mostrado ao público
expostular	raciocinar com (alguém) com o propósito de dissuasão
expressar	comunicar ou expressar de forma não verbal
expressar sentimentos	dar expressão verbal ou outra para os sentimentos
expressão	O uso de sons demitidos para comunicação auditiva
exprimir	articular; tanto verbalmente quanto com um grito, exclamando ou fazendo barulho; "Ela expressou sua raiva", "Ele proferiu uma maldição"
expropriar	privar de bens
expulsar	eliminar (uma substância)
extender	prolongar no tempo; fazer com que seja ou dure mais tempo
extensão	a magnitude de algo em uma determinada direção (especialmente comprimento ou largura ou altura)
extenuar	fazer uso muito frequentemente ou muito extensivamente
exterior	o lado exterior ou superfície de algo
externalizar	fazer externo ou objetivo, ou tornar realidade
externar	fazer externo ou objetivo, ou tornar realidade
extinguir	apagar fogo, chamas ou luzes
extinto	já não existe; perdido ou especialmente tendo morrido sem deixar representantes vivos
extirpar	puxar por ou como se tivesse raízes
extraditar	entregar às autoridades de outro país
extragaláctico	fora ou além de uma galáxia
extrair	extrair pelo processo de destilação
extrair com dificuldade	procurar e descobrir através de investigação persistente
extraordinariedade	A qualidade de ser extraordinário e não comumente encontrado
extratar	fazer um resumo (de)
extravazar	Geologia: causar material fundido, tal como lava, a derramar para frente
extremo	o grau mais alto ou mais longe de algo
extroverter	tornar mais sociável
extrovertido	uma pessoa mais preocupada com realidades práticas do que com pensamentos e sentimentos internos
exultar	expressar grande alegria
exército	as forças militares de uma nação
exímio	muito bom; da mais alta qualidade
eóleo	relacionado com a Aeolia
eólico	relacionado com a Aeolia
eólio	os antigos habitantes gregos de Aeolia
eólios	os antigos habitantes gregos de Aeolia
fabricante	uma empresa envolvida na fabricação de alguns produtos
fabricar	montar coisa, usando componentes artificiais ou naturais ou peças
fabricação	o ato de construir alguma coisa (como um pedaço de máquinas)
fabuloso	muito bom; da mais alta qualidade
faca	ferramenta de borda, utilizada como um instrumento de corte; tem uma lâmina pontiaguda com uma ponta afiada e um segurador
face	a frente da cabeça humana, da testa ao queixo e de orelha à orelha
face a face	envolvendo a comunicação direta ou contato direto entre pessoas ou partes
facilidade	qualidade do que é fácil e simples.
facilitar	tornar fácil
factível	Capaz de existir, ou de ocorrer ou provando ser verdadeiro; possível de fazer
faculdade	Uma instituição de ensino superior criada para educar e conceder diplomas; geralmente parte de uma universidade
faiscante	que reflete a luz
faiscar	emitir ou produzir faíscas
faixa	um adorno que consiste de uma tira de uma cor ou material contrastante
faixa de pedestre	cruzamento da rua onde os pedestres têm direito de passagem; muitas vezes marcado de alguma maneira (especialmente com listras diagonais)
faixa de segurança	cruzamento da rua onde os pedestres têm direito de passagem; muitas vezes marcado de alguma maneira (especialmente com listras diagonais)
falar	proporcionar uma palestra ou fala; "Ela vai falar na Universidade Rutgers, na próxima semana"; "Alguma vez você palestrou em Harvard?"
falar demais	revelar informações
falar mal	dizer coisas ruins
falar superficialmente	falar com pouco conhecimento
falecer	passar da vida física, perder todos os atributos corporais e funções necessárias para sustentar a vida
falha	o ato de não alcançar o objetivo desejado
falhar	parar de operar ou funcionar
falsificado	não genuíno ou verdadeiro; sendo uma imitação do artigo genuíno
falsificar	falsificar conscientemente
falsificação	uma corrupção intencional de fatos
falso	fraudulento; tendo uma aparência enganosa
falta	falha ao comparecer
falta de originalidade	A qualidade de não ser original
faltar	deixar de participar de um evento ou atividade
falência	um processo legal destinado a assegurar a igualdade entre os credores de uma empresa declarada como insolvente
familiar	Bem conhecido ou facilmente reconhecido
familiaridade	conhecimento pessoal ou informação sobre alguém ou alguma coisa
faminto	(geralmente seguido por "por") extremamente desejoso de
famosamente	de uma forma que é bem conhecida
famoso	amplamente conhecido e estimado
fan	um fan entusiástico e vocal
faneromania	um desejo irresistível de mexer em partes do corpo superficiais (como no transtorno obsessivo de roer as unhas)
fanfarrear	se mostrar, se exibir
fantasia	roupa usada em uma peça ou em um baile à fantasia
fantasiar	vestir uma fantasia, se fantasiar
fantástico	impressionantemente bonito ou atraente
fardo	um pacote (especialmente um carregado nas costas)
farmacêutico	relacionado a medicamentos usados em tratamentos médicos
faroês	A língua feroesa (ou feróica; nativamente føroyskt) é a língua oficial das Ilhas Feroé, falada pelos 47 000 habitantes da ilha mais cerca de 12 000 feroeses na Dinamarca. Junto com o islandês e com o extinto norn, é uma das três línguas escandinavas insulares descendentes do norueguês antigo.
farpa	pedacinhos, lascas e fragmentos
farsante	fraudulento; tendo uma aparência enganosa
fascinar	prender a atenção de alguém
fasear	organizar em fases ou etapas
fases da matéria	(Química) os três estados tradicionais da matéria são sólidos (forma e volume fixos), líquidos (volume fixo e forma moldada pelo contêiner) e gases (preenchendo o recipiente)
fastidioso	tão carente de interesse que chega a causar cansaço mental
fatalmente	com conseqüências ou implicações fatais
fatia	uma porção que foi cortada a partir de uma porção maior
fatiar	Cortar em fatias
fatigadamente	de uma maneira cansada
fato	alguma coisa que acontece em um determinado lugar e tempo
fato de banho	Roupa de ajuste apertado usada para nadar
fatorar	resolver em fatores
favelar	visitar uma favela ou bairro pobre
faxineira	uma mulher empregada para fazer trabalhos domésticos
fazedor	uma pessoa que faz as coisas
fazedor de leis	um criador de leis; alguém que faz um código de leis
fazenda	artefato feito por tecelagem ou feltragem ou tricô ou crochê de fibras naturais ou sintéticas
fazendeiro	uma pessoa que opera uma fazenda
fazer	agir de forma a adquirir; "fazer amigos"; "conquistar inimigos"
fazer barulho	fazer um som estridente
fazer bem	ser benéfico para
fazer besteira	fazer uma bagunça, destruir ou danificar
fazer bico	Trabalhar de forma independente e em contratos temporários em vez de para um empregador a longo prazo
fazer birra	reclamar chorando
fazer bolhas	criar bolhas
fazer cara feia	Olhar com raiva ou mal-humorado, com rugas da testa, como se em sinal de desaprovação
fazer careta	contorcer o rosto para indicar um determinado estado mental ou emocional
fazer claro	deixar claro enfaticamente e tentar convencer alguém de alguma coisa
fazer como se	Iniciar ou parecer iniciar uma ação
fazer correr	forçar a mover-se rapidamente ou apressar
fazer crosta	fazer marrom e crocante por aquecimento
fazer cócegas	tocar ou afagar levemente; "A grama fez cócegas em seus pés"
fazer de conta	representar ficticiamente, como em uma peça; fingir ser ou agir como
fazer decorar	ensinar por repetição
fazer dieta	comer com moderação, por motivos de saúde ou para perder peso
fazer digestão	tornar-se assimilado ao corpo
fazer discurso	apresentar um discurso ou idéia
fazer feliz demais	causar a sentir-se extremamente alegre ou feliz
fazer freelance	Trabalhar de forma independente e em contratos temporários em vez de para um empregador a longo prazo
